dateTime,Calories,TotalSteps,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes
2021-07-05,2433,3283,1334,75,11,20
2021-07-06,2525,3626,774,106,3,4
2021-07-07,2986,3964,993,80,12,55
2021-07-08,2962,7231,917,170,11,18
2021-07-09,2274,1251,899,75,0,0
2021-07-10,2493,1442,932,86,0,0
2021-07-11,3149,6973,728,91,26,44
2021-07-12,2314,1003,1048,66,0,0
2021-07-13,2827,6395,973,53,15,47
2021-07-14,2402,1081,1159,89,0,0
2021-07-15,2497,3721,1099,119,3,5
2021-07-16,3141,7951,968,161,26,50
2021-07-17,2125,817,794,50,0,0
2021-07-18,2988,4137,910,114,9,57
2021-07-19,3306,10355,825,143,14,62
2021-07-20,2806,4301,985,135,13,25
2021-07-21,2579,3772,896,99,12,17
2021-07-22,2563,3735,1052,128,7,5
2021-07-23,3466,10617,854,144,8,72
2021-07-24,3623,10903,992,133,10,77
2021-07-25,2780,2684,1050,104,10,29
2021-07-26,3030,7775,892,137,20,41
2021-07-27,2981,6250,845,110,26,49
2021-07-28,3519,9890,924,130,7,84
2021-07-29,3274,8912,954,120,24,61
2021-07-30,2726,3718,942,111,12,25
2021-07-31,2445,2826,945,137,0,0
2021-08-01,2610,3973,994,113,6,3
2021-08-02,2184,1242,984,69,0,0
2021-08-03,3268,10753,954,130,18,61
2021-08-04,2628,2869,1008,87,15,18
2021-08-05,2207,1042,850,39,18,9
