,0
0,no
1,up
2,go
3,go
4,right
5,on
6,on
7,right
8,go
9,go
10,off
11,on
12,up
13,yes
14,no
15,stop
16,left
17,down
18,go
19,off
20,yes
21,yes
22,right
23,no
24,right
25,left
26,stop
27,off
28,go
29,down
30,yes
31,right
32,stop
33,stop
34,down
35,yes
36,go
37,yes
38,go
39,right
40,on
41,down
42,no
43,off
44,on
45,go
46,yes
47,no
48,no
49,off
50,right
51,go
52,up
53,go
54,right
55,down
56,on
57,up
58,left
59,up
60,up
61,stop
62,stop
63,up
64,stop
65,off
66,off
67,left
68,go
69,down
70,stop
71,right
72,off
73,right
74,go
75,right
76,no
77,left
78,right
79,on
80,no
81,stop
82,off
83,yes
84,go
85,down
86,down
87,yes
88,off
89,up
90,on
91,left
92,left
93,down
94,off
95,down
96,go
97,on
98,go
99,on
100,up
101,yes
102,on
103,down
104,down
105,up
106,up
107,stop
108,no
109,no
110,stop
111,down
112,up
113,yes
114,on
115,left
116,stop
117,go
118,stop
119,down
120,no
121,right
122,yes
123,go
124,go
125,go
126,on
127,off
128,stop
129,off
130,right
131,yes
132,go
133,stop
134,up
135,on
136,on
137,on
138,right
139,no
140,right
141,right
142,right
143,left
144,go
145,off
146,off
147,up
148,left
149,down
150,stop
151,right
152,no
153,no
154,go
155,stop
156,down
157,right
158,down
159,go
160,right
161,on
162,right
163,left
164,yes
165,no
166,yes
167,go
168,no
169,right
170,no
171,stop
172,no
173,up
174,down
175,right
176,go
177,on
178,yes
179,up
180,on
181,go
182,stop
183,right
184,no
185,go
186,yes
187,up
188,stop
189,yes
190,yes
191,left
192,stop
193,up
194,right
195,stop
196,stop
197,up
198,right
199,stop
200,down
201,stop
202,go
203,down
204,go
205,down
206,up
207,on
208,on
209,yes
210,on
211,left
212,stop
213,right
214,off
215,go
216,off
217,right
218,on
219,yes
220,up
221,go
222,yes
223,go
224,up
225,on
226,on
227,go
228,right
229,no
230,up
231,go
232,left
233,left
234,left
235,yes
236,down
237,stop
238,on
239,go
240,stop
241,up
242,up
243,right
244,go
245,left
246,up
247,stop
248,right
249,stop
250,right
251,off
252,stop
253,off
254,on
255,up
256,on
257,up
258,go
259,no
260,no
261,right
262,go
263,up
264,right
265,stop
266,on
267,left
268,up
269,no
270,go
271,up
272,go
273,no
274,no
275,down
276,down
277,yes
278,yes
279,down
280,no
281,up
282,stop
283,down
284,go
285,down
286,on
287,stop
288,go
289,down
290,off
291,up
292,on
293,yes
294,on
295,stop
296,yes
297,stop
298,up
299,yes
300,right
301,left
302,go
303,up
304,go
305,off
306,stop
307,go
308,on
309,left
310,stop
311,left
312,stop
313,right
314,go
315,go
316,off
317,right
318,off
319,on
320,on
321,go
322,go
323,stop
324,left
325,up
326,left
327,right
328,stop
329,down
330,left
331,no
332,left
333,up
334,right
335,on
336,up
337,down
338,up
339,stop
340,right
341,no
342,stop
343,up
344,on
345,no
346,right
347,go
348,go
349,yes
350,off
351,stop
352,no
353,no
354,go
355,go
356,on
357,go
358,left
359,yes
360,on
361,right
362,stop
363,left
364,down
365,left
366,right
367,off
368,go
369,on
370,on
371,yes
372,left
373,up
374,down
375,off
376,right
377,right
378,go
379,on
380,yes
381,stop
382,go
383,no
384,yes
385,stop
386,off
387,yes
388,up
389,stop
390,stop
391,up
392,go
393,go
394,yes
395,left
396,up
397,right
398,yes
399,off
400,off
401,right
402,left
403,stop
404,stop
405,yes
406,stop
407,stop
408,yes
409,down
410,on
411,stop
412,yes
413,go
414,stop
415,up
416,up
417,on
418,stop
419,on
420,right
421,go
422,go
423,off
424,stop
425,on
426,yes
427,right
428,up
429,up
430,left
431,go
432,left
433,no
434,on
435,right
436,go
437,yes
438,left
439,stop
440,off
441,off
442,no
443,up
444,up
445,stop
446,off
447,go
448,no
449,on
450,stop
451,left
452,yes
453,on
454,down
455,stop
456,off
457,up
458,go
459,yes
460,yes
461,on
462,yes
463,left
464,go
465,off
466,right
467,off
468,left
469,stop
470,off
471,left
472,left
473,right
474,stop
475,no
476,up
477,right
478,right
479,stop
480,right
481,go
482,left
483,off
484,no
485,left
486,down
487,up
488,yes
489,left
490,left
491,left
492,go
493,no
494,stop
495,no
496,up
497,up
498,no
499,yes
500,go
501,on
502,stop
503,down
504,stop
505,yes
506,right
507,on
508,yes
509,off
510,right
511,right
512,no
513,on
514,yes
515,go
516,stop
517,up
518,go
519,down
520,down
521,right
522,up
523,down
524,up
525,left
526,go
527,on
528,no
529,stop
530,right
531,off
532,yes
533,right
534,right
535,right
536,stop
537,off
538,right
539,stop
540,stop
541,go
542,right
543,on
544,yes
545,yes
546,go
547,go
548,stop
549,down
550,on
551,up
552,right
553,yes
554,up
555,right
556,on
557,on
558,go
559,yes
560,go
561,stop
562,on
563,right
564,off
565,down
566,stop
567,on
568,go
569,on
570,right
571,on
572,on
573,right
574,left
575,yes
576,off
577,on
578,stop
579,up
580,on
581,left
582,yes
583,off
584,yes
585,yes
586,yes
587,left
588,stop
589,on
590,right
591,stop
592,yes
593,on
594,right
595,go
596,up
597,down
598,right
599,up
600,yes
601,on
602,yes
603,no
604,down
605,go
606,no
607,stop
608,stop
609,go
610,go
611,right
612,right
613,right
614,yes
615,yes
616,go
617,left
618,no
619,yes
620,go
621,stop
622,right
623,right
624,down
625,on
626,on
627,right
628,no
629,down
630,go
631,off
632,left
633,down
634,go
635,yes
636,no
637,left
638,no
639,right
640,up
641,off
642,right
643,left
644,stop
645,up
646,up
647,on
648,no
649,go
650,on
651,up
652,up
653,left
654,go
655,go
656,on
657,right
658,off
659,go
660,stop
661,on
662,on
663,yes
664,right
665,no
666,go
667,on
668,go
669,go
670,down
671,on
672,on
673,yes
674,left
675,left
676,up
677,down
678,go
679,on
680,up
681,go
682,right
683,on
684,yes
685,yes
686,off
687,go
688,yes
689,stop
690,left
691,go
692,down
693,right
694,stop
695,on
696,on
697,down
698,go
699,on
700,no
701,right
702,go
703,no
704,up
705,up
706,off
707,yes
708,right
709,go
710,up
711,go
712,down
713,on
714,yes
715,on
716,right
717,no
718,yes
719,down
720,yes
721,off
722,yes
723,go
724,stop
725,yes
726,no
727,no
728,off
729,go
730,yes
731,stop
732,yes
733,go
734,right
735,stop
736,right
737,down
738,yes
739,on
740,yes
741,off
742,left
743,up
744,right
745,stop
746,stop
747,no
748,yes
749,go
750,stop
751,yes
752,stop
753,go
754,down
755,go
756,right
757,yes
758,on
759,left
760,right
761,yes
762,no
763,go
764,go
765,stop
766,stop
767,left
768,yes
769,go
770,stop
771,up
772,on
773,right
774,off
775,up
776,yes
777,no
778,yes
779,left
780,right
781,go
782,stop
783,right
784,on
785,left
